timestamp,route,direction,staCode,busPlate,status,speed
2026-07-11T20:45:19.218Z,701X,0,T414,AA7206,1,1
2026-07-11T20:45:19.218Z,701X,0,T355/2,AA2515,0,43
2026-07-11T21:12:12.164Z,701X,0,T384,AA7364,1,10
2026-07-11T21:12:12.164Z,701X,0,T355/2,AA7206,0,47
2026-07-11T21:15:19.358Z,701X,0,T434,AA7364,1,30
2026-07-11T21:15:19.358Z,701X,0,T355/2,AA7206,0,45
2026-07-12T00:30:52.555Z,701X,0,T372,AA2755,0,31
2026-07-12T00:30:52.555Z,701X,0,T377,AA6961,0,2
2026-07-12T00:30:52.555Z,701X,0,T550/3,AA7364,1,
2026-07-12T02:15:19.225Z,701X,0,T436,AA2755,0,47
2026-07-12T02:15:19.225Z,701X,0,T550/3,AA6961,1,
2026-07-12T02:45:18.181Z,701X,0,T400,AA6961,0,1
2026-07-12T03:15:18.516Z,701X,0,T560/5,AA6961,0,37
2026-07-12T03:15:18.516Z,701X,0,T377,AA2755,0,31
